symbol,name,sector,total_esg,E_score,S_score,G_score,official_risk_level,weighted_risk_score,model_risk_level
EMN,Eastman Chemical Company,Basic Materials,25.3,12.8,5.8,6.6,Medium,9.15,Medium
DPZ,Domino's Pizza Inc.,Consumer Cyclical,29.2,10.6,12.2,6.3,Medium,9.95,Medium
DVA,Davita Inc.,Healthcare,22.6,0.1,14.1,8.4,Medium,9.59,Medium
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,27.5,7.9,15.0,4.6,Medium,9.75,Medium
ZTS,Zoetis Inc.,Healthcare,18.8,3.2,6.8,8.7,Low,6.65,Low
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,26.0,3.6,14.5,7.9,Medium,10.34,Medium
YUM,"Yum! Brands, Inc.",Consumer Cyclical,20.1,4.5,11.4,4.1,Medium,7.14,Low
XYL,Xylem Inc,Industrials,18.1,4.3,8.7,5.2,Low,5.89,Low
XEL,"Xcel Energy, Inc.",Utilities,26.5,12.7,9.3,4.5,Medium,9.8,Medium
WYNN,Wynn Resorts Ltd,Consumer Cyclical,25.7,3.4,11.8,10.6,Medium,8.92,Medium
WTW,Willis Towers Watson Public Limited Companys,Financial Services,18.7,0.1,7.8,10.8,Low,7.76,Medium
WMB,Williams Companies Inc.,Energy,21.8,8.7,10.1,3.0,Medium,7.62,Medium
WY,Weyerhaeuser Company,Real Estate,16.7,9.1,4.2,3.5,Low,5.11,Low
WDC,Western Digital Corp.,Technology,11.4,1.5,3.9,6.1,Low,3.96,Low
WELL,Welltower Inc.,Real Estate,13.2,4.2,3.5,5.5,Low,4.58,Low
WFC,Wells Fargo & Co.,Financial Services,36.2,2.0,14.8,19.4,High,14.54,Severe
WEC,"Wec Energy Group, Inc.",Utilities,27.5,13.4,9.0,5.1,Medium,10.22,Medium
WAT,Waters Corp,Healthcare,14.6,1.4,8.2,5.1,Low,5.91,Low
WM,"Waste Management, Inc.",Industrials,16.6,8.1,5.2,3.3,Low,5.79,Low
WMT,Walmart Inc.,Consumer Defensive,25.3,5.9,12.4,7.1,Medium,8.86,Medium
WBA,"Walgreens Boots Alliance, Inc",Healthcare,16.3,1.8,9.3,5.2,Low,6.57,Low
WAB,Wabtec Inc.,Industrials,23.3,5.4,12.0,6.0,Medium,7.56,Medium
GWW,"W.W. Grainger, Inc.",Industrials,16.0,4.5,5.6,5.9,Low,5.25,Low
WRB,W.R. Berkley Corporation,Financial Services,21.8,2.0,7.9,11.9,Medium,8.72,Medium
VMC,Vulcan Materials Company,Basic Materials,29.3,13.4,6.8,9.1,Medium,10.35,Medium
V,Visa Inc.,Financial Services,16.7,1.8,8.2,6.7,Low,6.17,Low
VRTX,Vertex Pharmaceuticals Inc,Healthcare,22.7,0.8,15.4,6.6,Medium,9.84,Medium
VZ,Verizon Communications,Communication Services,18.7,3.7,9.6,5.4,Low,6.87,Low
VRSK,"Verisk Analytics, Inc.",Industrials,17.5,0.1,12.5,5.0,Low,5.29,Low
VRSN,Verisign Inc,Technology,21.3,4.7,10.8,5.8,Medium,7.78,Medium
VTR,"Ventas, Inc.",Real Estate,12.9,3.4,3.9,5.6,Low,4.54,Low
VLO,Valero Energy Corporation,Energy,32.6,20.1,7.4,5.0,High,13.15,High
UHS,"Universal Health Services, Inc. Class B",Healthcare,33.0,3.7,20.7,8.6,High,13.67,High
UNH,Unitedhealth Group Incorporated,Healthcare,15.3,0.0,9.7,5.6,Low,6.53,Low
URI,"United Rentals, Inc.",Industrials,16.9,5.3,6.1,5.4,Low,5.57,Low
UPS,"United Parcel Service, Inc. Class B",Industrials,18.6,4.2,8.9,5.5,Low,6.0,Low
UAL,"United Airlines Holdings, Inc.",Industrials,28.6,10.8,12.8,5.0,Medium,9.66,Medium
UNP,Union Pacific Corp.,Industrials,23.5,7.3,10.6,5.6,Medium,7.78,Medium
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,15.6,4.1,7.3,4.3,Low,5.44,Low
UDR,"Udr, Inc.",Real Estate,13.9,3.7,3.9,6.3,Low,4.93,Low
USB,U.S. Bancorp,Financial Services,30.3,1.8,15.5,13.0,High,11.51,High
TSN,"Tyson Foods, Inc.",Consumer Defensive,35.9,14.0,12.4,9.5,High,12.01,High
TRMB,Trimble Inc.,Technology,12.4,3.8,3.4,5.2,Low,4.04,Low
TDG,Transdigm Group Incorporated,Industrials,38.7,12.0,17.7,9.0,High,12.81,High
TT,Trane Technologies Plc,Industrials,15.2,4.4,5.7,5.1,Low,5.0,Low
TSCO,Tractor Supply Co,Consumer Cyclical,16.1,3.4,8.2,4.5,Low,5.65,Low
TJX,"Tjx Companies, Inc.",Consumer Cyclical,14.4,1.9,7.7,4.8,Low,5.09,Low
TMO,"Thermo Fisher Scientific, Inc.",Healthcare,12.8,1.4,4.9,6.5,Low,4.68,Low
DIS,The Walt Disney Company,Communication Services,15.7,0.0,9.0,6.7,Low,6.06,Low
TRV,"The Travelers Companies, Inc.",Financial Services,20.3,1.0,9.3,10.0,Medium,7.99,Medium
SO,The Southern Company,Utilities,33.0,14.7,11.0,7.3,High,11.92,High
SHW,The Sherwin-Williams Company,Basic Materials,29.4,14.3,9.2,5.8,Medium,10.64,Medium
